STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-03-10,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-03-11,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-03-13,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-03-14,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-03-15,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-03-16,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-03-17,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-03-18,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-03-19,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-03-20,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-03-21,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-03-22,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-03-23,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-03-24,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-03-26,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-03-30,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-04-07,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-04-08,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-04-09,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-04-10,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-04-15,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-01,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-02,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-03,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-04,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-05,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-06,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-07,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-08,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-09,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-10,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-11,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-12,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-13,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-14,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-15,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-16,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-17,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-18,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-19,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-20,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-21,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-22,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-23,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-24,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-25,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-26,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-27,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-28,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-05-29,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-06-01,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-06-02,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-06-03,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-06-04,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-06-05,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-06-06,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-06-07,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-06-08,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-06-09,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-06-10,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-06-11,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-06-12,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-06-13,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-06-14,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-06-15,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-06-16,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-06-17,,
US1CAST0004,"HOLLISTER 5.4 NNE, CA US",36.9306,-121.3704,75.3,2009-06-18,,
